City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
130,Hithadhoo,MV,82.35,broken clouds,-0.6,73.0833,
131,Eldorado,BR,73.74,overcast clouds,-23.7869,-54.2836,
132,Thinadhoo,MV,82.26,light rain,0.5333,72.9333,
135,Butaritari,KI,82.49,clear sky,3.0707,172.7902,
140,Banda Aceh,ID,81.79,moderate rain,5.5577,95.3222,
144,Moyale,KE,92.03,broken clouds,3.5167,39.0584,
145,Srandakan,ID,79.2,overcast clouds,-7.9386,110.2506,
147,Mahajanga,MG,89.62,few clouds,-15.7167,46.3167,
148,Barra Patuca,HN,72.27,few clouds,15.8,-84.2833,
149,Isangel,VU,79.25,overcast clouds,-19.55,169.2667,
150,Albina,SR,76.62,overcast clouds,5.5,-54.05,
154,Faanui,PF,79.75,light rain,-16.4833,-151.75,
156,Ayorou,NE,82.99,few clouds,14.7308,0.9174,
158,Sur,OM,76.75,scattered clouds,22.5667,59.5289,
160,Esperance,AU,71.87,clear sky,-33.8667,121.9,
161,Bom Jesus Da Lapa,BR,81.03,clear sky,-13.255,-43.4181,
162,Puerto Rondon,CO,77.29,few clouds,6.2805,-71.1,
165,Mwingi,KE,87.3,overcast clouds,-0.9344,38.0601,
166,Beira,MZ,85.73,scattered clouds,-19.8436,34.8389,
167,Lamu,KE,86.22,overcast clouds,-2.2717,40.902,
169,Port Elizabeth,ZA,73.69,few clouds,-33.918,25.5701,
170,Cabinda,AO,84.34,few clouds,-5.55,12.2,
174,Karratha,AU,86.04,broken clouds,-20.7377,116.8463,
181,Port Blair,IN,80.64,scattered clouds,11.6667,92.75,
185,Pimenta Bueno,BR,74.68,broken clouds,-11.6725,-61.1936,
187,Nandigama,IN,85.8,overcast clouds,16.7833,80.3,
193,Bandarbeyla,SO,79.48,clear sky,9.4942,50.8122,
194,Lorengau,PG,81.03,overcast clouds,-2.0226,147.2712,
195,Puerto Carreno,CO,76.98,clear sky,6.189,-67.4859,
196,Dakar,SN,89.73,dust,14.6937,-17.4441,
198,Butajira,ET,78.48,scattered clouds,8.1167,38.3667,
199,Agutaya,PH,79.11,overcast clouds,11.148,120.9417,
200,Geraldton,AU,82.81,clear sky,-28.7667,114.6,
202,Dicabisagan,PH,74.35,scattered clouds,17.0818,122.4157,
205,Pitimbu,BR,84.79,overcast clouds,-7.4706,-34.8086,
210,Faya,SA,73.51,clear sky,18.3851,42.4509,
211,Tautira,PF,78.82,light rain,-17.7333,-149.15,
213,Puerto Leguizamo,CO,72.37,overcast clouds,-0.1934,-74.7819,
215,Acapulco,MX,73.22,clear sky,16.8634,-99.8901,
222,Tarakan,ID,81.9,few clouds,3.3,117.6333,
226,Oranjestad,AW,78.75,scattered clouds,12.524,-70.027,
228,Keffi,NG,91.78,clear sky,8.8486,7.8736,
229,Keti Bandar,PK,73.92,clear sky,24.1447,67.4497,
231,Padang,ID,75.25,light rain,-0.9492,100.3543,
232,Butterworth,MY,82.06,thunderstorm with light rain,5.3991,100.3638,
234,Necochea,AR,71.04,broken clouds,-38.5473,-58.7368,
236,Sao Filipe,CV,74.16,clear sky,14.8961,-24.4956,
237,Auriflama,BR,72.64,overcast clouds,-20.6856,-50.5547,
238,Santa Maria,BR,76.3,broken clouds,-29.6842,-53.8069,
239,Sinnamary,GF,77.83,overcast clouds,5.3833,-52.95,
240,Adrar,MR,76.08,clear sky,20.5022,-10.0711,
241,Mahebourg,MU,81.25,broken clouds,-20.4081,57.7,
243,Payo,ID,74.88,light rain,-3.7508,103.6372,
245,Pauini,BR,73.31,moderate rain,-7.7136,-66.9764,
248,Casablanca,MA,70.02,clear sky,33.5928,-7.6192,
249,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,
251,Najran,SA,88.45,few clouds,17.4924,44.1277,
252,Bathsheba,BB,74.01,broken clouds,13.2167,-59.5167,
257,Raga,SS,94.6,broken clouds,8.4596,25.678,
260,Manzanillo,CU,71.26,clear sky,20.3433,-77.1167,
261,Bengkulu,ID,76.89,overcast clouds,-3.8004,102.2655,
262,Guarapari,BR,82.29,overcast clouds,-20.6667,-40.4975,
264,Ponta Do Sol,PT,72.72,broken clouds,32.6667,-17.1,
265,Caraballeda,VE,79.38,few clouds,10.6112,-66.8522,
267,Amuntai,ID,75.38,light rain,-2.4177,115.2494,
268,Saldanha,ZA,80.65,few clouds,-33.0117,17.9442,
269,Tuy Hoa,VN,72.45,broken clouds,13.0833,109.3,
270,Amontada,BR,86.65,broken clouds,-3.3617,-39.8317,
271,Aloleng,PH,79.56,few clouds,16.1307,119.7824,
