City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
22,Bluff,NZ,2022-02-02 11:56:42,-46.6,168.3333,62.8,93,95,14.38
23,Hermanus,ZA,2022-02-02 11:56:43,-34.4187,19.2345,74.89,69,20,22.91
24,Souillac,MU,2022-02-02 11:56:43,-20.5167,57.5167,82.78,89,75,33.38
25,Saldanha,ZA,2022-02-02 11:56:43,-33.0117,17.9442,66.25,79,100,14.54
26,Sambava,MG,2022-02-02 11:56:43,-14.2667,50.1667,84.51,62,89,7.76
27,Tshikapa,CD,2022-02-02 11:56:44,-6.4167,20.8,85.33,66,78,0.49
28,Chuy,UY,2022-02-02 11:56:44,-33.6971,-53.4616,73.35,64,1,5.66
29,Parintins,BR,2022-02-02 11:56:44,-2.6283,-56.7358,77.65,85,94,5.5
30,Castro,BR,2022-02-02 11:56:44,-24.7911,-50.0119,69.03,83,80,5.99
31,Boulsa,BF,2022-02-02 11:56:45,12.6675,-0.5758,84.25,5,49,13.53
32,Punta Arenas,CL,2022-02-02 11:56:45,-53.15,-70.9167,46.42,81,40,8.05
33,Petropavlovsk-Kamchatskiy,RU,2022-02-02 11:56:45,53.0452,158.6483,27.19,100,100,4.47
34,Butaritari,KI,2022-02-02 11:56:46,3.0707,172.7902,80.94,82,51,16.04
35,Murdochville,CA,2022-02-02 11:56:46,48.9583,-65.5006,11.28,80,100,12.26
36,Chokurdakh,RU,2022-02-02 11:56:46,70.6333,147.9167,-6.93,97,100,6.4
37,Arlit,NE,2022-02-02 11:56:46,18.7369,7.3853,79.54,8,1,11.14
38,Yellowknife,CA,2022-02-02 11:56:47,62.456,-114.3525,-31.45,84,0,4.61
39,Nikolskoye,RU,2022-02-02 11:56:47,59.7035,30.7861,25.39,94,98,1.88
40,Ponta Do Sol,PT,2022-02-02 11:56:47,32.6667,-17.1,67.12,65,100,10.07
41,Kutum,SD,2022-02-02 11:56:47,14.2,24.6667,83.97,12,3,11.9
42,Taybad,IR,2022-02-02 11:56:48,34.74,60.7756,52.9,27,0,11.32
43,Saskylakh,RU,2022-02-02 11:56:48,71.9167,114.0833,-27.99,100,44,2.57
44,Severo-Kurilsk,RU,2022-02-02 11:56:48,50.6789,156.125,26.98,83,85,6.98
45,Coquimbo,CL,2022-02-02 11:56:43,-29.9533,-71.3436,62.33,88,100,1.14
46,Nhulunbuy,AU,2022-02-02 11:55:14,-12.2333,136.7667,77.61,94,100,8.05
47,Ullapool,GB,2022-02-02 11:57:49,57.8987,-5.1604,49.75,92,100,8.55
48,Polunochnoye,RU,2022-02-02 11:57:49,60.8697,60.4153,16.12,98,100,1.16
49,Ribeira Grande,PT,2022-02-02 11:57:49,38.5167,-28.7,61.2,67,20,9.22
50,Vaini,TO,2022-02-02 11:57:49,-21.2,-175.2,77.16,88,20,4.61
51,Morondava,MG,2022-02-02 11:57:50,-20.2833,44.2833,87.28,66,47,15.5
52,Gayny,RU,2022-02-02 11:57:50,60.3071,54.3241,27.7,89,99,7.16
53,Tigil,RU,2022-02-02 11:57:50,57.8,158.6667,20.8,91,100,5.46
54,Woensdrecht,NL,2022-02-02 11:57:51,51.4163,4.337,50.72,95,100,5.75
55,Sulangan,PH,2022-02-02 11:57:51,11.1373,123.7228,81.34,78,96,13.09
56,Aquiraz,BR,2022-02-02 11:57:51,-3.9014,-38.3911,82.49,76,75,8.25
57,Nemuro,JP,2022-02-02 11:57:51,43.3236,145.575,22.84,75,20,10.2
58,Jingdezhen,CN,2022-02-02 11:57:52,29.2947,117.2079,37.17,98,100,3.71
59,Abu Dhabi,AE,2022-02-02 11:54:29,24.4667,54.3667,73.51,58,0,13.8
60,Talagang,PK,2022-02-02 11:57:52,32.9297,72.4158,60.01,40,89,7.96
61,Busselton,AU,2022-02-02 11:57:52,-33.65,115.3333,82.04,31,34,10.8
62,San Patricio,US,2022-02-02 11:57:52,28.017,-97.5169,67.89,98,47,5.55
63,Qaanaaq,GL,2022-02-02 11:57:53,77.484,-69.3632,-23.96,63,46,7.81
64,Hithadhoo,MV,2022-02-02 11:57:53,-0.6,73.0833,82.8,69,68,6.73
65,Codrington,AU,2022-02-02 11:57:53,-38.2667,141.9667,58.03,76,24,8.86
66,Port Alfred,ZA,2022-02-02 11:57:53,-33.5906,26.891,87.76,59,97,9.1
