City_ID,City,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Lat,Lng
143,Sistranda,36.9,72,100,18.72,overcast clouds,NO,63.7256,8.834
144,Moyale,92.03,13,78,10.25,broken clouds,KE,3.5167,39.0584
145,Srandakan,79.2,85,100,5.7,overcast clouds,ID,-7.9386,110.2506
146,Magadan,-3.66,71,24,11.39,few clouds,RU,59.5667,150.8
147,Mahajanga,89.62,62,20,16.11,few clouds,MG,-15.7167,46.3167
148,Barra Patuca,72.27,93,24,4.97,few clouds,HN,15.8,-84.2833
149,Isangel,79.25,88,100,11.54,overcast clouds,VU,-19.55,169.2667
150,Albina,76.62,92,91,2.98,overcast clouds,SR,5.5,-54.05
151,Yellowknife,-36.58,85,0,4.61,clear sky,CA,62.456,-114.3525
152,Shelburne,5.56,97,85,7.07,overcast clouds,CA,44.0787,-80.2041
153,Agucadoura,55.96,72,100,6.89,overcast clouds,PT,41.4318,-8.7804
154,Faanui,79.75,78,17,12.1,light rain,PF,-16.4833,-151.75
155,Roald,39.9,80,100,20.71,overcast clouds,NO,62.5833,6.1333
156,Ayorou,82.99,7,12,18.5,few clouds,NE,14.7308,0.9174
157,Avera,62.74,90,100,14.81,moderate rain,US,33.194,-82.5271
158,Sur,76.75,41,29,6.73,scattered clouds,OM,22.5667,59.5289
159,Broome,24.01,83,100,1.99,light snow,US,42.2506,-75.833
160,Esperance,71.87,62,6,20.42,clear sky,AU,-33.8667,121.9
161,Bom Jesus Da Lapa,81.03,59,5,2.44,clear sky,BR,-13.255,-43.4181
162,Puerto Rondon,77.29,66,15,5.37,few clouds,CO,6.2805,-71.1
163,Provideniya,0.61,64,4,19.39,clear sky,RU,64.3833,-173.3
164,Launceston,55.04,76,4,8.05,clear sky,AU,-41.45,147.1667
165,Mwingi,87.3,30,98,10.78,overcast clouds,KE,-0.9344,38.0601
166,Beira,85.73,62,46,8.05,scattered clouds,MZ,-19.8436,34.8389
167,Lamu,86.22,71,88,16.46,overcast clouds,KE,-2.2717,40.902
168,Sakakah,62.17,28,38,21.27,scattered clouds,SA,29.9697,40.2064
169,Port Elizabeth,73.69,56,20,13.8,few clouds,ZA,-33.918,25.5701
170,Cabinda,84.34,74,20,6.91,few clouds,AO,-5.55,12.2
171,Leh,5.54,96,93,1.3,overcast clouds,IN,34.1667,77.5833
172,Kaitangata,47.57,94,100,5.7,overcast clouds,NZ,-46.2817,169.8464
173,Katsuura,43.11,68,81,5.95,broken clouds,JP,35.1333,140.3
174,Karratha,86.04,66,76,11.16,broken clouds,AU,-20.7377,116.8463
175,Covington,22.05,91,100,6.91,snow,US,39.0837,-84.5086
176,Whitehorse,-4.7,73,100,5.99,light snow,CA,60.7161,-135.0538
177,Torbay,40.75,95,100,9.22,light rain,CA,47.6666,-52.7314
178,Cherskiy,-33.66,98,12,2.84,few clouds,RU,68.75,161.3
179,Kirovskiy,-3.26,100,100,1.48,overcast clouds,RU,45.0917,133.5136
180,Jamiltepec,62.35,82,0,3.15,clear sky,MX,16.2833,-97.8167
181,Port Blair,80.64,78,40,9.22,scattered clouds,IN,11.6667,92.75
182,Saint-Francois,49.41,73,100,6.91,overcast clouds,FR,46.4154,3.9054
183,Sisimiut,7.72,92,98,7.07,light snow,GL,66.9395,-53.6735
184,Ust-Nera,-18.62,86,29,2.26,scattered clouds,RU,64.5667,143.2
185,Pimenta Bueno,74.68,88,76,2.68,broken clouds,BR,-11.6725,-61.1936
186,Cabo San Lucas,62.51,66,0,5.77,clear sky,MX,22.8909,-109.9124
187,Nandigama,85.8,28,91,8.28,overcast clouds,IN,16.7833,80.3
188,Lebu,61.34,86,89,14.2,overcast clouds,CL,-37.6167,-73.65
189,Rosarito,54.91,26,3,8.1,clear sky,MX,32.3333,-117.0333
190,Castanos,30.34,77,80,6.51,broken clouds,MX,26.7833,-101.4167
191,Lagoa,57.58,80,99,18.12,overcast clouds,PT,39.05,-27.9833
192,Mar Del Plata,69.87,89,100,0.0,mist,AR,-38.0023,-57.5575
193,Bandarbeyla,79.48,50,5,13.02,clear sky,SO,9.4942,50.8122
194,Lorengau,81.03,72,95,7.0,overcast clouds,PG,-2.0226,147.2712
195,Puerto Carreno,76.98,83,0,6.91,clear sky,CO,6.189,-67.4859
196,Dakar,89.73,23,0,2.3,dust,SN,14.6937,-17.4441
197,Kashiwazaki,34.88,90,97,17.76,snow,JP,37.3667,138.55
198,Butajira,78.48,20,37,8.46,scattered clouds,ET,8.1167,38.3667
199,Agutaya,79.11,82,99,30.8,overcast clouds,PH,11.148,120.9417
200,Geraldton,82.81,32,0,10.36,clear sky,AU,-28.7667,114.6
201,Ossora,12.04,85,100,8.88,overcast clouds,RU,59.2353,163.0719
202,Dicabisagan,74.35,85,45,5.79,scattered clouds,PH,17.0818,122.4157
203,Bethel,51.66,92,100,1.99,mist,US,41.3712,-73.414
204,Bazarnyye Mataki,32.32,98,100,10.02,light snow,RU,54.8833,49.9333
205,Pitimbu,84.79,61,94,11.45,overcast clouds,BR,-7.4706,-34.8086
206,Tilichiki,4.78,82,100,6.96,overcast clouds,RU,60.4667,166.1
207,Olavarria,69.03,84,93,3.38,overcast clouds,AR,-36.8927,-60.3225
208,Berlevag,13.95,73,0,4.61,clear sky,NO,70.8578,29.0864
209,Dikson,-2.99,91,100,6.42,overcast clouds,RU,73.5069,80.5464
210,Faya,73.51,46,3,11.54,clear sky,SA,18.3851,42.4509
211,Tautira,78.82,78,87,12.55,light rain,PF,-17.7333,-149.15
212,Vostok,-9.0,100,100,2.98,overcast clouds,RU,46.4856,135.8833
213,Puerto Leguizamo,72.37,94,86,1.07,overcast clouds,CO,-0.1934,-74.7819
214,Margate,42.96,87,100,8.99,overcast clouds,GB,51.3813,1.3862
215,Acapulco,73.22,88,0,5.75,clear sky,MX,16.8634,-99.8901
216,Beroroha,104.32,20,20,5.23,few clouds,MG,-21.6667,45.1667
217,Westport,55.54,97,100,3.0,light rain,US,41.1415,-73.3579
218,Toccoa,64.04,98,100,4.61,light intensity drizzle,US,34.5773,-83.3324
219,Chicama,63.14,80,48,4.16,scattered clouds,PE,-7.8447,-79.1469
220,Hazaribag,63.19,60,38,17.18,scattered clouds,IN,23.9833,85.35
